ID;NOMBRE;MUNICIPIO;PROVINCIA;ALTURA;LATITUD;º;';"""";;GMS;GD (.);LATITUD GD;LONGITUD;º;';"""";;GMS;GD ;LONGITUD GD;Latitud . Longitud;Google maps
8439X;Segorbe;Segorbe;Castelló/Castellón;400;394744N;39;47;44;N;"39°47'44""";39.79555556;39.79555556;002907W;0;29;7;W;"0°29'7""";0.485277778;-0.485277778;39.7955555555556.-0.485277777777778;{Lat: 39.7955555555556.lng: -0.485277777777778}.
8472A;Montanejos;Montanejos;Castelló/Castellón;601;400516N;40;5;16;N;"40°5'16""";40.08777778;40.08777778;003249W;0;32;49;W;"0°32'49""";0.546944444;-0.546944444;40.0877777777778.-0.546944444444444;{Lat: 40.0877777777778.lng: -0.546944444444444}.
8489X;Villafranca del Cid/Villafranca;Villafranca del Cid/Vilafranca;Castelló/Castellón;1131;402600N;40;26;0;N;"40°26'0""";40.43333333;40.43333333;001521W;0;15;21;W;"0°15'21""";0.255833333;-0.255833333;40.4333333333333.-0.255833333333333;{Lat: 40.4333333333333.lng: -0.255833333333333}.
8492X;Atzeneta del Maestrat;Atzeneta del Maestrat;Castelló/Castellón;420;401338N;40;13;38;N;"40°13'38""";40.22722222;40.22722222;001011W;0;10;11;W;"0°10'11""";0.169722222;-0.169722222;40.2272222222222.-0.169722222222222;{Lat: 40.2272222222222.lng: -0.169722222222222}.
8500A;Castellón de la Plana. Almazora;Almazora/Almassora;Castelló/Castellón;43;395726N;39;57;26;N;"39°57'26""";39.95722222;39.95722222;000419W;0;4;19;W;"0°4'19""";0.071944444;-0.071944444;39.9572222222222.-0.0719444444444444;{Lat: 39.9572222222222.lng: -0.0719444444444444}.
8503Y;Torreblanca;Torreblanca;Castelló/Castellón;35;432646N;43;26;46;N;"43°26'46""";43.44611111;43.44611111;001101E;0;11;1;E;"0°11'1""";0.183611111;0.183611111;43.4461111111111.0.183611111111111;{Lat: 43.4461111111111.lng: 0.183611111111111}.
8520X;La Pobla de Benifassà-Fredes;Pobla de Benifassà. la;Castelló/Castellón;1168;432157N;43;21;57;N;"43°21'57""";43.36583333;43.36583333;000955E;0;9;55;E;"0°9'55""";0.165277778;0.165277778;43.3658333333333.0.165277777777778;{Lat: 43.3658333333333.lng: 0.165277777777778}.
8523X;Vinaròs;Vinaròs;Castelló/Castellón;111;431825N;43;18;25;N;"43°18'25""";43.30694444;43.30694444;002547E;0;25;47;E;"0°25'47""";0.429722222;0.429722222;43.3069444444444.0.429722222222222;{Lat: 43.3069444444444.lng: 0.429722222222222}.
9563X;Castellfort;Castellfort;Castelló/Castellón;1220;431213N;43;12;13;N;"43°12'13""";43.20361111;43.20361111;001112W;0;11;12;W;"0°11'12""";0.186666667;-0.186666667;43.2036111111111.-0.186666666666667;{Lat: 43.2036111111111.lng: -0.186666666666667}.
8354X;Albarracín;Albarracín;Teruel;1130;400235N;40;2;35;N;"40°2'35""";40.04305556;40.04305556;012629W;1;26;29;W;"1°26'29""";1.441388889;1.441388889;40.0430555555556.1.44138888888889;{Lat: 40.0430555555556.lng: 1.44138888888889}.
8368U;Teruel;Teruel;Teruel;900;400013N;40;0;13;N;"40°0'13""";40.00361111;40.00361111;010727W;1;7;27;W;"1°7'27""";1.124166667;1.124166667;40.0036111111111.1.12416666666667;{Lat: 40.0036111111111.lng: 1.12416666666667}.
8376;Jabaloyas;Jabaloyas;Teruel;1430;401518N;40;15;18;N;"40°15'18""";40.255;40.255;012442W;1;24;42;W;"1°24'42""";1.411666667;1.411666667;40.255.1.41166666666667;{Lat: 40.255.lng: 1.41166666666667}.
8458X;Cedrillas;Cedrillas;Teruel;1380;401029N;40;10;29;N;"40°10'29""";40.17472222;40.17472222;005058W;0;50;58;W;"0°50'58""";0.849444444;0.849444444;40.1747222222222.0.849444444444444;{Lat: 40.1747222222222.lng: 0.849444444444444}.
8486X;Mosqueruela;Mosqueruela;Teruel;1515;395217N;39;52;17;N;"39°52'17""";39.87138889;39.87138889;002716W;0;27;16;W;"0°27'16""";0.454444444;0.454444444;39.8713888888889.0.454444444444444;{Lat: 39.8713888888889.lng: 0.454444444444444}.
9374X;Teruel. Santa Eulalia del Campo;Santa Eulalia;Teruel;1000;401226N;40;12;26;N;"40°12'26""";40.20722222;40.20722222;011915W;1;19;15;W;"1°19'15""";1.320833333;1.320833333;40.2072222222222.1.32083333333333;{Lat: 40.2072222222222.lng: 1.32083333333333}.
9381I;Calamocha;Calamocha;Teruel;890;392539N;39;25;39;N;"39°25'39""";39.4275;39.4275;011736W;1;17;36;W;"1°17'36""";1.293333333;1.293333333;39.4275.1.29333333333333;{Lat: 39.4275.lng: 1.29333333333333}.
